Text,BAL,BNP,NCP,BangladeshJamaat_e_Islami,AB_Party,UPB,JaPa,GOP
ঈবলীশ শয়তানের দোসর মুর্তি পুজারী কাফের মুশরিকের দল জামাত শিবির !,2,2,2,4,2,2,2,2
চাকরি খেকো দল জামায়াত।,2,2,2,3,2,2,2,2
আমার জীবনের প্রথম ভোট দাঁড়ি পাল্লায় হবে।,2,2,2,1,2,2,2,2
আপনার ভোট আমানত হিসেবে দাঁড়ি পাল্লায় হোক।,2,2,2,1,2,2,2,2
"এবার জনগণ চাঁ'দাবাজ স'ন্ত্রাসী ঠেকাতে জামায়েতকে ভোট দেবে, ইনশাআল্লাহ",2,2,2,1,2,2,2,2
মুনাফেকেরা কিভাবে মানুষের কললকল্যান করবে ?,2,2,2,3,2,2,2,2
"চতুর দিকে জয়ের গান, আল্লাহ মেহেরবান, দাঁড়িপাল্লার হবে জয় শুকরিয়া করে যান",2,2,2,1,2,2,2,2
সব দল দেখা শেষ এবার জামায়াতে ইসলামীর বাংলাদেশ ইনশাআল্লাহ,2,2,2,1,2,2,2,2
তারুণ্যের প্রথম ভোট দাঁড়িপাল্লার পক্ষে হোক,2,2,2,1,2,2,2,2
জামাত ইসলাম কে বাংলাদেশ সরকার হিসেবে দেখতে চাই,2,2,2,1,2,2,2,2
"দাঁড়িপাল্লা দাঁড়িপাল্লা রহম কর হে আল্লাহ, দুর্নীতি আর চাঁদাবাজি চাইনা আমরা এ দেশে, আল্লাহ তুমি রহম করো মানুষকে ভালোবেসে ।",2,2,2,1,2,2,2,2
দুই সাপের এক কল্লা নৌকা আর দাঁড়িপাল্লা,4,2,2,4,2,2,2,2
আল কোরআন নামে আছে কাজে নাই তোমাদের।,2,2,2,3,2,2,2,2
জামায়াত জাতির কান্ডারী,2,2,2,1,2,2,2,2
আল কুরআনের আইন চাই সৎ লোকের শাসন চাই,2,2,2,1,2,2,2,2
এই জাতিকে আলোর দিশা দেখাতে পারে একমাত্র বাংলাদেশ জামাতে ইসলামী,2,2,2,1,2,2,2,2
"দাড়িপাল্লা জামায়াত ইসলামী একমাত্র বাংলাদেশ কে সুন্দর ভাবে পরিচালনা করতে পারে, আর বাকি যত গূলো দল আছে সবাই দুরনিতি বাজ",2,2,2,1,2,2,2,2
দাড়ি পাল্লার বিজয়।,2,2,2,1,2,2,2,2
মোনাফেকের দলের সাথে কিসের মিটিং,2,2,2,4,2,2,2,2
জনগণের মার্কা দাঁড়িপাল্লা মার্কা,2,2,2,1,2,2,2,2
আগামীর বাংলাদেশ হবে ইসলামের বাংলাদেশ ইনশাআল্লাহ,2,2,2,1,2,2,2,2
"জামাত ইসলাম প্রকৃত ইসলাম নয়, এদের টা ব্যবসায়িক ইসলাম।",2,2,2,3,2,2,2,2
বাংলাদেশ জামাতে ইসলামী মিথ্যা কথা বলে না ওরা,2,2,2,1,2,2,2,2
ইনশাআল্লাহ শিবির,2,2,2,1,2,2,2,2
"তাদের মানবতা ভোটের জন্য, তাদের সেজদা নামাজের পোস্ট ফেসবুকে দেয় ভোটের জন্য",2,2,2,3,2,2,2,2
"পূজা মন্ডপে যাওয়া ভোটের জন্য, কুরআন ফেসবুকে বিক্রি করা ভোটের জন্য",2,2,2,3,2,2,2,2
"তাদের দলের লোক রোজা পূজা কে সমান করে কথা বলে,,, ভোটের জন্য",2,2,2,3,2,2,2,2
তাদের দলের অনেক লোক ইসলাম অবমাননা হয় এমন কথা বলে ভোটের জন্য,2,2,2,3,2,2,2,2
"তাদের দলের কিছু মোল্লারা ইসলাম অবমাননার,, কথা শুনলেও প্রতিবাদ করেনা ভোটের জন্য",2,2,2,3,2,2,2,2
"এরা মানুষকে ইসলামের নাম দিয়ে ধোঁকা দিয়ে ক্ষমতায় আশা, এটাই তাদের মনের ইচ্ছা।",2,2,2,3,2,2,2,2
ইনশাআল্লাহ আগামীর বাংলাদেশ জামায়াতে ইসলামীর বাংলাদেশ।,2,2,2,1,2,2,2,2
ভন্ডের দল জামাত।,2,2,2,3,2,2,2,2
ভন্ড ইসলাম,2,2,2,3,2,2,2,2
সবচেয়ে বড় ভন্ডহইছে এই ইসলামিক দিক গুলো,2,2,2,3,2,2,2,2
ইনশাআল্লাহ এবার জিতবে দাঁড়ি পাল্লা,2,2,2,1,2,2,2,2
বাংলাদেশ ভণ্ড ইসলাম,2,2,2,3,2,2,2,2
আর কত ভন্ডামি ইসলামের লেভাস ধারী ভন্ড জামায়াত শিবির,2,2,2,3,2,2,2,2
স্বাধীনতার ৫৪ বছর মানে...জামাত ইসলাম কি স্বাধীনতা বিশ্বাস করে..?,2,2,2,3,2,2,2,2
দেশের সাধারণ মানুষের মনে ভালোবাসার এক নাম এখন বাংলাদেশ জামায়াতে ইসলাম,2,2,2,1,2,2,2,2
"আগামীর বাংলাদেশ, সাম্য মানবিকতার বাংলাদেশ।",2,2,2,1,2,2,2,2
"আগামীর বাংলাদেশ, জামায়াত শিবিরের বাংলাদেশ।",2,2,2,1,2,2,2,2
জুলুমকারী দল জামাতে ইসলামী,2,2,2,3,2,2,2,2
দাঁড়ি পাল্লা মার্কা হিন্দুদের মার্কা।,2,2,2,3,2,2,2,2
"করতেন তো জাসদ,,,,, আইছেন চো*দাতে জামায়াত",2,2,2,4,2,2,2,2
ক্ষমতায় আসলে তো দেশটা জঙ্গিতে ভড়ায় দিবেন।,2,2,2,3,2,2,2,2
"৭১ থেকে জুলাই সনদ অবদি, জামাতের পল্টি থামছে না।",2,2,2,3,2,2,2,2
জামাত আর তামাক উভয়ই ক্ষতিকর জামাত ধর্মের জন্য আর তামাক শরীরের জন্য,2,2,2,3,2,2,2,2
এবার নির্বাচনে জামায়াতে ইসলামী জিতবে ইনশাআল্লাহ।,2,2,2,1,2,2,2,2
ইনশাআল্লাহ জামাত ইসলামীর বাংলাদেশ,2,2,2,1,2,2,2,2
ইনশাআল্লাহ আসবে জামাতে ইসলাম,2,2,2,1,2,2,2,2
আলহামদুলিল্লাহ জামায়াত ইসলাম কে আল্লাহ এর জন্য ভালোবাসি,2,2,2,1,2,2,2,2
জামাত তো দেশের সাথে বেঈমানী করছে,2,2,2,3,2,2,2,2
বাংলাদেশ জামাত ইসলাম সত্যবাদী দল,2,2,2,1,2,2,2,2
বাংলাদেশ জামায়াতে ইসলামী ছাত্রশিবির জিন্দাবাদ সবার জন্য দোয়া ও ভালোবাসা রইলো,2,2,2,1,2,2,2,2
"যে সব ইসলামিক দল এবং সেলিব্রেটি বক্তারা ইসকন ইস্যু নিয়ে নীরব, আমরা ধরে নেব—আপনারা ভারতের কাছে বিক্রি হয়ে গেছেন।",2,2,2,3,2,2,2,2
"আল্লহ তায়ালার আইন চাই, সত লোকের শাসন চাই",2,2,2,1,2,2,2,2
পাকিস্তানের দালালেরা হুশিয়ার সাবধান,2,2,2,3,2,2,2,2
"জামাত ৭১ এর অপরাধী, হাসিনা ২৪ এর অপরাধী।",3,2,2,3,2,2,2,2
জামাত ইসলাম মানেই একটা ব্র্যান্ড,2,2,2,1,2,2,2,2
জামায়াত শুধু জুম্মার দিনে আন্দোলন করে গেটের সামনে যাতে করে মসজিদ থেকে লোক বাহির হলে বোঝা যায় আন্দোলনে অনেক মানুষ আছে।,2,2,2,3,2,2,2,2
"শুধু আন্দোলন আর আন্দোলন,, জমায়েত মানে আন্দোলন বিএনপি মানে নিবাচন",2,3,2,3,2,2,2,2
ভণ্ড জামায়াত দেশে অরাজকতা সৃষ্টি করতে চাচ্ছে।,2,2,2,3,2,2,2,2
"রাজাকারেরা হাসতে হাসতে ক্ষমা চাচ্ছে,নির্বাচনকে সামনে রেখে ক্ষমা চাওয়ার নাটক.....কি লজ্জা",2,2,2,3,2,2,2,2
হেঁদুরা কোনো কালেই জামায়াতকে ভোট দেবে না।,2,2,2,3,2,2,2,2
ইসকন ও ইসরায়েল ইস্যু তে ভণ্ড জামায়াত চুপ কেনো?,2,2,2,3,2,2,2,2
জামাত কি ঈমামদের ব্যপারে উদাসীন?,2,2,2,3,2,2,2,2
এই দেশ ও জাতির মুক্তি একমাত্র ইসলাম প্রতিষ্ঠার মাধ্যমেই সম্ভব।,2,2,2,1,2,2,2,2
বাংলাদেশ জামাতে ইসলাম এটা একটা গাদ্দার সংগঠনের নাম।,2,2,2,3,2,2,2,2
এই দেশের ১৩ টা বাজাতে যা যা করা দরকার জামায়াত ইসলামী তাই করবে সাধারণ মানুষের ভোগান্তির শেষ কোথায়?,2,2,2,3,2,2,2,2
নিজেদের ক্ষমতার জন্য সব কিছুর দাবি করতে পারলেও ইসলাম ও মুসলিমের জন্য তাদের কিছু করার নেই।,2,2,2,3,2,2,2,2
আপনারা শুধু ইসলাম টাকে ব্যবহার করছেন ক্ষমতায় যাওয়ার জন্য,2,2,2,3,2,2,2,2
ইস্কন নিয়ে জামায়াতের কোনো বিবৃতি চোখে পড়লো না।,2,2,2,3,2,2,2,2
জামাতি ভন্ডরা নির্বাচন আসলে তার থার্ড ক্লাস কর্মীরা অন্যদের নিয়ে নোংরা নোংরা পোস্ট করে মহান আল্লাহর সান্নিধ্য লাভ করতে চায়।,2,2,2,3,2,2,2,2
বাস্তবে এরা পদ পেলেই মসজিদ দখল করে নোংরা রাজনীতি করে।,2,2,2,3,2,2,2,2
ছোট বেলা থেকে জামাতি ভন্ডদের বাটপারি দেখেই বড় হইছি।,2,2,2,3,2,2,2,2
ইসকনের ব্যাপারে কোন আওয়াজ নেই জামাআতের।,2,2,2,3,2,2,2,2
নিজের খাই নিজের পরি ভালো লাগে তাই দ্বীন কায়েমের জন্য শিবির করি,2,2,2,1,2,2,2,2
একটা সুন্দর দেশকে অস্থিতিশীল করতে জামাতের ভুমিকা অপরিসীম।,2,2,2,3,2,2,2,2
দখলবাজি চাঁদাবাজিতে শীর্ষে জামাত ইসলামি,2,2,2,3,2,2,2,2
"ডা. শফিকুর রহমান মহোদয়ের এই অঙ্গীকার শুধু একটি বাক্য নয়, এটি এক ঈমানি শপথ — অন্যায়ের অন্ধকারে ন্যায়ের আলো জ্বালানোর প্রতিশ্রুতি।",2,2,2,1,2,2,2,2
আগামী দিনে জামায়াতে ইসলামীর বিজয় লাভ দেখবো ইনশাআল্লাহ,2,2,2,1,2,2,2,2
ইনশাআল্লাহ বাংলাদেশ জামায়াত ইসলামী জিন্দাবাদ জিন্দাবাদ জিন্দাবাদ,2,2,2,1,2,2,2,2
দাড়িপাল্লার দিন শেষ ডিজিটাল স্কেল এর বাংলাদেশ।,2,2,2,3,2,2,2,2
আমরা ইসলাম বেচা নিয়ে লিপ্ত,2,2,2,3,2,2,2,2
তোমাদের তো জম্মটাই অপকর্মের মাধ্যমে,2,2,2,3,2,2,2,2
আপনারা মন্দিরে গিয়ে ঠিকই গীতা পাঠ করতে পারেন কিন্তু দুই পারসেন্ট ভোট কমে যাবে বলে মুসলিম বোনের ধর্ষণের ব্যাপারে কথা বলছেন না।,2,2,2,3,2,2,2,2
এবার ভোটটা দিব আমরা দাঁড়িপাল্লাতে ভাই,2,2,2,1,2,2,2,2
"বাংলাদেশ জিন্দাবাদ, দাঁড়িপাল্লা মার্কা জিন্দাবাদ।",2,2,2,1,2,2,2,2
জামাত জিতবে,2,2,2,1,2,2,2,2
"নামধারী মুসলিম, হিন্দু, বোদ্ধা, ইহুদি, খ্রিষ্টান,ইসকন, এই সবগুলো মিক্সিং হলো জামাত।",2,2,2,3,2,2,2,2
"নীল নদের পানি নীল নয়, তেমনি জামাত ইসলাম ইসলামি দল নয়।",2,2,2,3,2,2,2,2
"শুধু নির্বাচন নয় বাংলাদেশের সকল সেক্টর, গুরুত্বপূর্ণ দপ্তর ও গুরুত্বপূর্ণ পদ থেকে এই মুনাফেকদের বিতাড়িত করতে হবে, এরা দেশের শত্রু এবং এরা ইসলামের শত্রু।।।",2,2,2,3,2,2,2,2
জনগণ জামায়াতকে ক্ষমতায় দেখতে চায়,2,2,2,1,2,2,2,2
"ইসলামের নাম ভাঙিয়ে রাজনীতি, কিন্তু ইসলাম যখন আঘাতপ্রাপ্ত — তখন “নীরবতার রাজনীতি”!",2,2,2,3,2,2,2,2
জামায়াতে ইসলামীর মাধমেই এদেশে ইসলামী রাষ্ট্র ব্যবস্থা প্রতিষ্ঠিত হবে ইনশাআল্লাহ।,2,2,2,1,2,2,2,2
জামাতে ইসলাম ইসলামের শত্রু তোদের ইস্কন নিয়ে কোন আলোচনা নাই তোরা ইসলামের দুশমন ইসকনের বন্ধু বাংলাদেশের মধ্যে জামাতে ইসলাম ইসকনকে সহযোগিতা করে,2,2,2,3,2,2,2,2
মাশাল্লাহ আলহামদুলিল্লাহ দাড়িপাল্লা জিন্দাবাদ,2,2,2,1,2,2,2,2
"সুশীল মারানী রা, তোদের,লেবাস খুলে,নাম থেকে ইসলাম শব্দ টা বাদ দে ।",2,2,2,4,2,2,2,2
ক্ষমতা এতো স্বাদ?! তাই বলে কি ক্ষমতার জন্য ঈমান-ইসলাম বিক্রি করে দিবেন?,2,2,2,3,2,2,2,2
৭১ এর ধর্ষকদের পাহারাদাররা ৭১ এর ভয় জুলাই গাঞ্জা খেয়ে পরে আছে,2,2,2,4,2,2,2,2
দাড়ি পাল্লা,2,2,2,1,2,2,2,2
তোমাদের দাবিগুলোর মধ্যে ইসকন নিষিদ্ধের দাবি টা তাকার জরুরি ছিলো না? তোমরা আবার নিজেকে ইসলামিক দল দাবি করো,2,2,2,3,2,2,2,2
"নৌকা লাঙ্গল ধানের শীষ সব দেখা শেষ, এবার জামায়াতে ইসলামীর বাংলাদেশ।",3,3,2,1,2,2,2,2
অবাধ সুষ্ঠু নিরপেক্ষ নির্বাচন হলে বাংলাদেশ জামায়াতে ইসলামী বিপুল ভোটে বিজয় অর্জন করবে ইনশা আল্লাহ।,2,2,2,1,2,2,2,2
নতুন প্রজন্মের প্রথম ভোট দাড়ি পাল্লা মার্কায় হোক।,2,2,2,1,2,2,2,2
১৯৭১ এর গনহত্যাকারী দল জামায়াত এর কোনো দাবি সরকার মেনে নেবেনা।,2,2,2,3,2,2,2,2
বাংলাদেশ জামায়াতে ইসলামী হিন্দু শাখা ও ইসকন শাখার পক্ষ থেকে এদের শুভেচ্ছা জানানো হোক।,2,2,2,3,2,2,2,2
জামাত করিনা তবে পছন্দ করি,2,2,2,1,2,2,2,2
"সংযুক্ত আরব আমিরাতের শারজাহ থেকে, জামায়াত ইসলামী জিন্দাবাদ",2,2,2,1,2,2,2,2
দলীয় স্বার্থে ইসলামকে ব্যবহার করেন।,2,2,2,3,2,2,2,2
সব দেখেছি বারবার দাড়ি পাল্লা এইবার,2,2,2,1,2,2,2,2
বাংলাদেশের মাটিতে ইসলাম বিকৃত করে রাজনীতি চলবে না,2,2,2,3,2,2,2,2
"আমি একজন মুসলিম হিসেবে বলতে চাই — আমরা যেন এমন দল ও নেতৃত্বকে সমর্থন করি, যারা কোরআন ও সুন্নাহকে ভিত্তি করে দেশ পরিচালনা করতে চায়, জনগণের ন্যায্য অধিকার আদায়ের জন্য কাজ করে, এবং সমাজে ন্যায়, সততা ও শান্তি প্রতিষ্ঠা করে।",2,2,2,1,2,2,2,2
"আসুন, আমরা সবাই ইসলামী রাজনীতিকে ভালোবাসি, ইসলামি আদর্শের পক্ষে দাঁড়াই এবং আল্লাহর সন্তুষ্টির জন্য ন্যায়ের রাজনীতি প্রতিষ্ঠা করি।",2,2,2,1,2,2,2,2
"মুসলমান হিসেবে আমাদের দায়িত্ব হলো সেই দল ও নেতৃত্বকে সমর্থন করা, যারা কোরআন ও সুন্নাহর আলোকে সমাজ ও রাষ্ট্র পরিচালনা করতে চায়।",2,2,2,1,2,2,2,2
"বর্তমান সময়ে দেখা যাচ্ছে, ইসলামী দলগুলোর নেতৃবৃন্দ আলেম-ওলামা, শিক্ষিত ও নীতিবান মানুষ, জনগণের হক নষ্ট করে না, বরং ন্যায় ও ইনসাফ প্রতিষ্ঠার জন্য কাজ করে যাচ্ছে।",2,2,2,1,2,2,2,2
ইসলাম এবং কোরআন কে রাজনৈতিক হাতিয়ার বানালেন আর মসজিদ কোরআন কে চোট করে নিজেদের রাজনৈতিক ফায়দা নিলেন।,2,2,2,3,2,2,2,2
ধর্মের নাম দিয়ে মানুষের আবেগে নিয়ে খেলা খুবই ভয়ংকর।,2,2,2,3,2,2,2,2
নাম ইসলামী দিয়ে অন্তরে দলীয় রাজনৈতিক বীজ বোপন একধরনের প্রতারণা।,2,2,2,3,2,2,2,2
দলীয় চিন্তাভাবনা নিয়ে ইসলামের দোহাই দিয়ে মানুষের আবেগকে কাজে লাগিয়ে রাজনীতি সমাজে আরো বিশৃঙ্খলা সৃষ্টি করবে।,,2,2,3,2,2,2,2
সমাজ বিভক্তির সবচেয়ে বড়ো দায় জামাত কে নিতে হবে।,2,2,2,3,2,2,2,2
নাস্তিকদের আলেমদের গালাগালি করার সুযোগ করে দিয়েছে জামাত অথচ সব আলেম তাদের পক্ষে ছিলো না।,2,2,2,3,2,2,2,2
মসজিদকে দলীয় অফিস না বানিয়ে নিজেদের দলীয় অফিস বানান পাড়ায় পাড়ায়।,2,2,2,3,2,2,2,2
বুদ্ধি বৃত্তিক ভাবে মসজিদ এবং ইসলাম কে দলীয় স্বার্থে ব্যবহার করে মসজিদ কে ডিল ছোঁড়ার জায়গা বানানোর জন্যে জামাত দায়ী।,2,2,2,3,2,2,2,2
মসজিদ কোন দলের না সকল মুসলমানের।,2,2,2,3,2,2,2,2
দাঁড়িপাল্লার বিজয় হবে ইনশাআল্লাহ,2,2,2,1,2,2,2,2
ভারতীয় এজেন্ডা বাস্তবায়নে মাঠে নেমেছে জামাত শিবির ও চরমোনাই ভন্ড তাদের মূল উদ্দেশ্য ষড়যন্ত্র করে দেশ কে অস্থিতিশীল করা,2,2,2,3,2,2,2,2
ইনশাআল্লাহ দেশে নিরাপদ ইসলামী দলের কাচেই আশা করা জায়,2,2,2,1,2,2,2,2
মোনাফেকর বাচ্চা,2,2,2,4,2,2,2,2
"জামাতের মুখ থেকে ""বাংলাদেশকে ভালবাসি"" শুনা আর মিয়া খলিফার মুখ থেকে আমি ""ভার্জিন"" শুনা একই কথা",2,2,2,4,2,2,2,2
জামাত জাতীয় বেইমান,,2,2,3,2,2,2,2
"গ্রামের জামায়াত নেতৃত্ব নিজেদের চরিত্র উন্নত মানের স্তরে নিয়ে যাবে, এটাই প্রত্যাশা।",2,2,2,1,2,2,2,2
"এনসিপির প্রত্যেকটা সদস্য ব্রিলিয়ান্ট, টেকনিক্যালি জিনিয়াস,বিচক্ষন, দুর্দান্ত।",2,2,1,2,2,2,2,2
শাপলা কলির জয় হোক।,2,2,1,2,2,2,2,2
গ্রাম শহর অলিগলি ১২ তারিখে জিতবে এবার শাপলা কলি,2,2,1,2,2,2,2,2
"জিতবে এবার শাপলা কলি,ইনকিলাব জিন্দাবাদ",2,2,1,2,2,2,2,2
শাপলা কলি ২০২৬!,2,2,1,2,2,2,2,2
সারা বাংলার অলি গলী রব উঠেছে শাপলা কলি।,2,2,1,2,2,2,2,2
ঢাকা ১৯/২০ আসনের এনসিপি'র হাইব্রিড প্রার্থী'দের বয়কট করবে স্থানীয় সাধারণ জনগন।,2,2,3,2,2,2,,2
অভিনন্দন। শূভ কামনা রইল। তরূণদের প্রথম ভোট এন সি পির শাপলা কলি প্রতীকে হোক। ইনকিলাব জিন্দাবাদ।,2,2,1,2,2,2,2,2
অভিনন্দন জানাই আমরা মানিকগঞ্জ জেলার জাতীয় নাগরিক পার্টি এনসিপির সকল নেতাকর্মী সমর্থকদের পক্ষে,2,2,1,2,2,2,2,2
গ্রাম শহর অলিগলি মাইর খাবে শাপলা কলি,2,2,3,2,2,2,2,2
বেশির ভাগ পোলাপানই হাটুর বয়সী,2,2,3,2,2,2,2,2
ভাই আপনারা দেশের বড় একটা সংখ্যার কাছে গ্রহণযোগ্যতা হারিয়েছেন,2,2,3,2,2,2,2,2
"১২ ফেব্রুয়ারি সারাদিন গণভোটে হ্যাঁ দিন, শাপলা কলিতে ভোট দিন",2,2,1,2,2,2,2,2
এনসিপির এতো বেশি আসনে লড়াই করার চেয়ে ৫০ টা আসনে কোয়ালিটি ফুল লড়াই দেওয়া উচিত।,2,2,1,2,2,2,2,2
"এনসিপির প্রতি মানুষের আগ্রহ আছে, মানুষের সাথে মিশতে পারৱে কেউ ফিরায়া দিবে না।",2,2,1,2,2,2,2,2
এনসিপির নেতাদের প্রতি আহবান মাঠে নামুন ভাই। জনতার সাথে মিশুন অনেক দেরি করে ফেলছেন যদিও তাও লড়াইটা করুন,2,2,1,2,2,2,2,2
বাংলাদেশ টোকাই পার্টি,2,2,3,2,2,2,2,2
জুলাই চুদি কুড়িগ্রাম জেলা রাজারহাট উপজেলা দিনোবাজার পারলে মব বাহিনী নিয়ে আসিয়েন,2,2,4,2,2,2,2,2
শাপলা সততার সাথে টিকে থাকুক সবার প্রিয় ও ভালোবাসা নিয়ে।,2,2,1,2,2,2,2,2
এনসিপি জিতলে জিতবে বাংলাদেশ,2,2,1,2,2,2,2,2
"জুলাই চেতনা বিক্রির দিন শেষ, তফসিলের বাংলাদেশ ।",2,2,3,2,2,2,2,2
গণভোটে হ্যাঁ বলি মার্কা এবার শাপলা কলি।,2,2,1,2,2,2,2,2
দেশ ধ্বংসের কারিগর জুলাই ব্যবসায়ী হঠাও বাংলাদেশ বাঁচাও,2,2,3,2,2,2,2,2
নাসিরউদ্দিন পাটোয়ারী অনেক সুন্দর করে জনগণের মনের কথা গুলো প্রকাশ করেছেন ধন্যবাদ ভাইকে,2,2,1,2,2,2,2,2
এনসিপি কে সাপোর্ট করে এগিয়ে নেওয়া প্রত্যেক সচেতন নাগরিকের দায়িত্ব।,2,2,1,2,2,2,2,2
"তারুণ্যের নেতৃত্বই এগিয়ে যাবে বাংলাদেশ ইনশাআল্লাহ, ইনকিলাব  জিন্দাবাদ",2,2,1,2,2,2,2,2
শাপলা কলির জয় হোক সেটা বিরোধী দল হিসেবে হলেও,2,2,1,2,2,2,2,2
শালায় যেন ভাগতে না পারে আমার চ্যাটে বাল এনসিপি,2,2,4,2,2,2,2,2
বাংলাদেশের জনগণ জাতীয় নাগরিক পার্টির সাথে যুক্ত হয়ে বাংলাদেশকে এগিয়ে নিতে হবে।,2,2,1,2,2,2,2,2
এনসিপির কার্যকলাপ যতদিন জনগণের পক্ষে থাকবে ততদিন আমরাও আপনাদের পাসে আছি থাকবো ইনশাআল্লাহ,2,2,1,2,2,2,2,2
"কতবড় নহারামজাদার দল এরা একবার দেখেন, সারাদেশে শহীদ মিনার ভেঙে,মুক্তিযোদ্ধাদের আপমান করে এরাই আবার শহীদ মিনারে পাদতলে। ভণ্ডামির শেষ কোথায়?",2,2,4,2,2,2,2,2
এগিয়ে এসো নতুনদের পথে,2,2,1,2,2,2,2,2
"আচ্ছা ভাই আবেগে কি সব কিছু সম্ভব, আপনাদের আবেগ বেশি",2,2,1,2,2,2,2,2
উনার প্রতি সম্মান রেখেই বলছি এনসিপি মানুষের আবেগ অনুভূতিকে টার্ম কার্ড হিসেবে ব্যবহার করলো।,2,2,3,2,2,2,2,2
"এনসিপি জনগণের আস্তা, গণমানুষের ভালোবাসা'র প্রতীক শাপলা কলি",2,2,1,2,2,2,2,2
"এনসিপি সব সময় জুলাই জোদ্ধাদের পাশে ছিল,আছে, থাকবে।",2,2,1,2,2,2,2,2
এনসিপি এর সকল কর্মকান্ড আলহামদুলিল্লাহ অনেক ভালো।,2,2,1,2,2,2,2,2
এই বাচ্চা ছেলেদের এই হাঁটুর বয়সী ছেলেদের কারণেই বুড়া ধামরারা আজকে বাচ্চা হাঁটুর বয়স বলে গালি দিতে পারে,2,2,3,2,2,2,2,2
ফালতু এনসিপি বয়কট। কিসের সাথে কি পান্তা ভাতে ঘি,2,2,3,2,2,2,2,2
এনসিসির ফুটেজ খোরি মানুষ আর খায় না,2,2,3,2,2,2,2,2
আবেগ দিয়ে দেশ চালাবেন? যোগ্য লোক নিয়ে আসেন।,2,2,1,2,2,2,2,2
আবেগের দোচনে বাচে না,2,2,4,2,2,2,2,2
"মিথ্যা আশ্বাস, এরা মানুষের সাথে এভাবেই ছয় নয় করছে",2,2,3,2,2,2,2,2
দেশটা আবেগে ভরে গেছে,2,2,3,2,2,2,2,2
জুলাই টোকাই,2,2,3,2,2,2,2,2
উন্নয়নের দিন শেষ রিকশাওলা আর পতিবন্ধির বাংগা দেশ,2,2,3,2,2,2,2,2
কলি কখনো ফুটবে না ভুঝলে সোনা গো আমার-মানুষ এই কয়েক মাসে বুঝে গেছে কলির ভিতর পোকা আছে।।,2,2,3,2,2,2,2,2
এনসিপি নব্য রাজাকার টিকতে না বেশিদিন,2,2,3,2,2,2,2,2
জুলাই জঙ্গি রাজাকার চুদি,2,2,4,2,2,2,2,2
ফুটবে কলি হাসবে দেশ এন সি পি গড়বে নতুন বানলাদেশ।।,2,2,1,2,2,2,2,2
দলমত নির্বিশেষে দেশের চিকিৎসা ব্যবস্থাকে উন্নতর অবস্থানে নিয়ে যেতে চাইলে জারা আপুকে ভোট দিতেই হবে। তার কোন বিকল্প নাই।,2,2,1,2,2,2,2,2
"মানুষ পরিবর্তন চায়, সেটা এনসিপি তে সম্ভব",2,2,1,2,2,2,2,2
দরকার হলে আমরা প্রবাসী বাঙালিরা নির্বাচন প্রচারণা চালানোর জন্য এনসিপি কে টাকা পাঠাবো।,2,2,1,2,2,2,2,2
আপনারা একসময় ছিলেন হিরো এখন আপনারা হয়ে গেছেন জিরো,2,2,3,2,2,2,2,2
দেশের জনগণ চলো আমরা নাহিদ ইসলামের সাথে যুক্ত হয়ে দেশকে সুন্দর ভাবে সাজিয়ে তুলি।,2,2,1,2,2,2,2,2
"এত অল্প সময়ে জনপ্রিয়তা পাওয়া দলটা ইনশাআল্লাহ খুব শীঘ্রই জনতার হয়ে সংসদে আওয়াজ তুলবে,জনতার হয়ে জনতার কথা বলবে। ",2,2,1,2,2,2,2,2
তারুন্যর প্রথম ভোট শাপলা কলির পক্ষে হোক।,2,2,1,2,2,2,2,2
"এনসিপি একটা সিট ও না পাক,কোন সমস্যা নেই। সুস্থ রাজনৈতিক চর্চা তো শুরু করতে পেরেছি আমরা এটা এই প্রজন্ম জন্য যথেষ্ট।💘",2,2,1,2,2,2,2,2
আগামীর ব্যালট হবে বুলেটের বিরুদ্ধে মাফিয়াতন্ত্রের বিরুদ্ধে পরিবারতন্ত্রের বিরুদ্ধে ,2,2,1,2,2,2,2,2
"জুলাইয়ের গণ-অভ্যুত্থানের মধ্য দিয়ে গড়ে ওঠা, জাতীয় নাগরিক পার্টি-এনসিপির জন্য শুভকামনা।",2,2,1,2,2,2,2,2
যাদের হাত ধরে বিএনপি নতুন করে ক্ষমতায় আশার স্বপ্ন দেখছে তাদের শুভকামনা দিতেই হবে।,2,2,1,2,2,2,2,2
যাদের হাত ধরে বহিষ্কার হওয়া জামায়েত রাজনীতি করার সুযোগ পেয়েছে তাদের শুভকামনা দিতেই হবে,2,2,1,2,2,2,2,2
যাদের নেতৃত্বে ত্যাগের বিনিময় তরুণ যুবসমাজ রাতের ভোট দিনে দেওয়ার সুযোগ পেয়েছে তাদের শুভকামনা দিতেই হবে তা না হলে আমরা বড় অকৃতজ্ঞ জাতি হিসেবেই পরিগনিত হব।,2,2,1,2,2,2,2,2
ছোট্ট ছোট্ট পায়ে চলতে চলতে ঠিক পৌঁছে যাবে।। ইনশাল্লাহ এগিয়ে যাক এনসিপি।।,2,2,1,2,2,2,2,2
চারিদিকে শুর উঠেছে শাপলা কলি যাবে জিতে।,2,2,1,2,2,2,2,2
